Acc. Filename,Er-v-2p-1,Er-v-2p-2,Er_max,PGV,PEAK_PULSE,Tp,Number of pulses
RSN1003_NORTHR_STN020.AT2,3.675899e-01,6.395049e-02,3.675899e-01,4.315404e-01,3.747193e+01,3.552576e+01,5.700000e-01,1
RSN1003_NORTHR_STN110.AT2,3.909603e-01,7.300154e-02,3.909603e-01,4.639619e-01,4.165634e+01,3.786121e+01,6.300000e-01,1
RSN1004_NORTHR_SPV270.AT2,5.438338e-01,1.051276e-01,5.438338e-01,6.489614e-01,7.770947e+01,7.807001e+01,9.550000e-01,1
RSN1004_NORTHR_SPV360.AT2,1.177913e-01,1.330893e-01,1.330893e-01,2.508805e-01,7.648684e+01,0,1.090000e+00,0
RSN1012_NORTHR_LA0270.AT2,4.184532e-01,8.409833e-02,4.184532e-01,5.025515e-01,3.801387e+01,2.970568e+01,1,1
RSN1013_NORTHR_LDM064.AT2,4.013677e-01,3.817620e-01,4.013677e-01,7.831297e-01,7.484795e+01,7.282767e+01,2.105000e+00,2
RSN1013_NORTHR_LDM334.AT2,3.813358e-01,2.585568e-01,3.813358e-01,6.398926e-01,4.739602e+01,3.024291e+01,3.245000e+00,2
RSN1042_NORTHR_CWC270.AT2,4.346990e-01,7.929418e-02,4.346990e-01,5.139932e-01,3.080180e+01,3.032714e+01,3.140000e+00,1
RSN1044_NORTHR_NWH-UP.AT2,1.319688e-01,6.135186e-02,1.319688e-01,1.933207e-01,3.158490e+01,0,4.800000e-01,0
RSN1044_NORTHR_NWH090.AT2,2.266858e-01,4.166284e-01,4.166284e-01,6.433142e-01,7.582331e+01,4.935603e+01,2.200000e+00,1
RSN1044_NORTHR_NWH360.AT2,2.980767e-01,3.899861e-01,3.899861e-01,6.880627e-01,9.744904e+01,8.859176e+01,3.720000e+00,2
RSN1045_NORTHR_WPI046.AT2,8.491317e-01,6.612149e-02,8.491317e-01,9.152532e-01,1.182313e+02,1.177792e+02,2.370000e+00,1
RSN1045_NORTHR_WPI316.AT2,5.537261e-01,1.582054e-01,5.537261e-01,7.119315e-01,5.920306e+01,5.843712e+01,2.070000e+00,1
RSN1049_NORTHR_SUN190.AT2,2.077704e-01,9.081300e-02,2.077704e-01,2.985834e-01,3.321991e+01,0,9.400000e-01,0
RSN1050_NORTHR_PAC175.AT2,4.811677e-01,2.662481e-01,4.811677e-01,7.474158e-01,4.503987e+01,4.138703e+01,4.600000e-01,1
RSN1050_NORTHR_PAC265.AT2,4.062555e-01,2.347079e-01,4.062555e-01,6.409635e-01,3.149067e+01,2.671618e+01,1.120000e+00,2
RSN1051_NORTHR_PUL-UP.AT2,4.543857e-01,2.376465e-01,4.543857e-01,6.920322e-01,4.979386e+01,5.082895e+01,4.800000e-01,2
RSN1051_NORTHR_PUL104.AT2,1.962955e-01,1.754360e-01,1.962955e-01,3.717315e-01,5.481223e+01,0,9.200000e-01,0
RSN1051_NORTHR_PUL194.AT2,6.092332e-01,1.453613e-01,6.092332e-01,7.545945e-01,1.036005e+02,9.663310e+01,9.000000e-01,1
RSN1052_NORTHR_PKC090.AT2,2.032668e-01,1.866040e-01,2.032668e-01,3.898707e-01,3.086139e+01,0,1.460000e+00,0
RSN1052_NORTHR_PKC360.AT2,2.945298e-01,9.051793e-02,2.945298e-01,3.850477e-01,5.173430e+01,0,7.400000e-01,0
RSN1054_NORTHR_PAR--L.AT2,5.017810e-01,2.030435e-01,5.017810e-01,7.048245e-01,7.609492e+01,7.384595e+01,1.150000e+00,1
RSN1054_NORTHR_PAR--T.AT2,2.623383e-01,3.094849e-01,3.094849e-01,5.718232e-01,5.405272e+01,5.404752e+01,1.590000e+00,2
RSN1063_NORTHR_RRS-UP.AT2,3.013358e-01,1.284312e-01,3.013358e-01,4.297670e-01,4.236701e+01,0,6.500000e-01,0
RSN1063_NORTHR_RRS228.AT2,6.991760e-01,9.870143e-02,6.991760e-01,7.978774e-01,1.482002e+02,1.429907e+02,1.420000e+00,1
RSN1063_NORTHR_RRS318.AT2,3.981421e-01,4.047608e-01,4.047608e-01,8.029029e-01,7.495009e+01,6.000523e+01,2.890000e+00,2
RSN1077_NORTHR_STM090.AT2,5.126908e-01,8.024555e-02,5.126908e-01,5.929363e-01,4.176678e+01,4.021453e+01,2.120000e+00,1
RSN1080_NORTHR_KAT000.AT2,2.539765e-01,2.264010e-01,2.539765e-01,4.803776e-01,5.028416e+01,0,7.500000e-01,0
RSN1080_NORTHR_KAT090.AT2,2.139675e-01,9.004705e-02,2.139675e-01,3.040145e-01,4.450147e+01,0,6.500000e-01,0
RSN1082_NORTHR_RO3090.AT2,2.719884e-01,1.430512e-01,2.719884e-01,4.150396e-01,4.278657e+01,0,9.400000e-01,0
RSN1084_NORTHR_SCS052.AT2,4.179735e-01,1.866531e-01,4.179735e-01,6.046266e-01,1.163112e+02,9.085158e+01,2.555000e+00,1
RSN1084_NORTHR_SCS142.AT2,4.559586e-01,2.064366e-01,4.559586e-01,6.623952e-01,8.852926e+01,9.124843e+01,1.225000e+00,1
RSN1085_NORTHR_SCE011.AT2,4.580554e-01,2.434855e-01,4.580554e-01,7.015409e-01,1.209718e+02,7.767845e+01,4.380000e+00,2
RSN1085_NORTHR_SCE281.AT2,5.753757e-01,1.062681e-01,5.753757e-01,6.816438e-01,6.042756e+01,6.082445e+01,2.115000e+00,1
RSN1086_NORTHR_SYL090.AT2,4.283624e-01,1.735884e-01,4.283624e-01,6.019508e-01,7.778485e+01,5.633673e+01,2.520000e+00,1
RSN1086_NORTHR_SYL360.AT2,6.807910e-01,1.468776e-01,6.807910e-01,8.276686e-01,1.303818e+02,1.039629e+02,2.120000e+00,1
RSN1087_NORTHR_TAR-UP.AT2,2.972100e-01,8.358903e-02,2.972100e-01,3.807990e-01,7.312303e+01,0,8.160000e+00,0
RSN1087_NORTHR_TAR090.AT2,3.058196e-01,6.180432e-02,3.058196e-01,3.676239e-01,1.166779e+02,0,8.000000e-01,0
RSN1087_NORTHR_TAR360.AT2,1.633540e-01,9.066487e-02,1.633540e-01,2.540189e-01,7.864700e+01,0,6.860000e+00,0
RSN1101_KOBE_AMA000.AT2,1.775362e-01,2.050047e-01,2.050047e-01,3.825408e-01,3.362131e+01,0,4.280000e+00,0
RSN1101_KOBE_AMA090.AT2,1.451157e-01,1.789407e-01,1.789407e-01,3.240564e-01,4.470572e+01,0,2.040000e+00,0
RSN1104_KOBE_FKS000.AT2,7.398952e-02,8.168461e-02,8.168461e-02,1.556741e-01,3.147913e+01,0,3.740000e+00,0
RSN1104_KOBE_FKS090.AT2,9.475985e-02,1.268279e-01,1.268279e-01,2.215878e-01,3.049609e+01,0,2.350000e+00,0
RSN1106_KOBE_KJM-UP.AT2,4.251033e-01,1.080453e-01,4.251033e-01,5.331486e-01,4.042247e+01,3.486557e+01,1.680000e+00,1
